term_id,en,ja,uz,ru,translation_rule
os,operating system,OS,,,Keep OS where the abbreviation is standard.
kernel,kernel,カーネル,,,Translate the explanation but keep kernel in the English source.
user_space,user space,ユーザー空間,,,Use one term consistently.
system_call,system call,システムコール,,,Keep command and API names unchanged.
distribution,distribution,ディストリビューション,,,Do not translate as OS version.
file,file,ファイル,,,Use the standard IT loanword in Japanese.
directory,directory,ディレクトリ,,,Do not alternate with folder in technical explanations.
path,path,パス,,,Distinguish absolute and relative paths.
user,user,ユーザー,,,Keep account names such as ssm-user unchanged.
group,group,グループ,,,Keep group names such as ops unchanged.
permission,permission,アクセス権,,,Use パーミッション only when explaining mode bits.
process,process,プロセス,,,Distinguish from program service and package.
package,package,パッケージ,,,Keep package names unchanged.
service,service,サービス,,,Distinguish the systemd unit from the live process.
socket,socket,ソケット,,,Explain it as the communication endpoint managed by the kernel.
port,port,ポート,,,Keep port numbers unchanged.
log,log,ログ,,,Keep journalctl and unit names unchanged.
shell,shell,シェル,,,Keep Bash as a product name.
command,command,コマンド,,,Never translate literal command names.
interface,interface,インターフェース,,,Use GUI and CLI unchanged.
layer,layer,レイヤー,,,Use 低レイヤー rather than 低い層 in Japanese.
authentication,authentication,認証,,,Distinguish authentication from authorization.
authorization,authorization,認可,,,Distinguish authorization from permission bits.
local,local,ローカル,,,Define it relative to the current operation.
remote,remote,リモート,,,Define it relative to the current operation.
